fid,id,left,top,right,bottom,¼ö¿Â
"495",9792,127.4,34.725,127.425,34.7,27.425363
"496",9792,127.4,34.725,127.425,34.7,27.416635
"497",9792,127.4,34.725,127.425,34.7,27.403511
"498",9792,127.4,34.725,127.425,34.7,27.371332
"499",9792,127.4,34.725,127.425,34.7,27.367434
"500",9792,127.4,34.725,127.425,34.7,27.35952
"501",9792,127.4,34.725,127.425,34.7,27.347747
"502",9792,127.4,34.725,127.425,34.7,27.318543
"503",9792,127.4,34.725,127.425,34.7,27.314808
"504",9792,127.4,34.725,127.425,34.7,27.30755
"505",9792,127.4,34.725,127.425,34.7,27.296888
"506",9792,127.4,34.725,127.425,34.7,27.270541
"507",9792,127.4,34.725,127.425,34.7,27.266907
"508",9792,127.4,34.725,127.425,34.7,27.260172
"509",9792,127.4,34.725,127.425,34.7,27.250427
"510",3673,126.55,35.55,126.575,35.525,27.316783
"511",3673,126.55,35.55,126.575,35.525,27.303509
"512",3673,126.55,35.55,126.575,35.525,27.2959
"513",3673,126.55,35.55,126.575,35.525,27.285137
"514",3673,126.55,35.55,126.575,35.525,27.339365
"515",3673,126.55,35.55,126.575,35.525,27.326225
"516",3673,126.55,35.55,126.575,35.525,27.330655
"517",3673,126.55,35.55,126.575,35.525,27.324664
